,COUNTY,R2SCOREBEFORE,R2SCOREAFTER
115,Tama,71098.71429746467,71098.71429746467
116,Woodbury,1017534.3411783784,1017534.3411783784
117,Muskogee,437.7052040390132,437.7052040390132
118,Colleton,510.1810497157729,510.1810497157729
119,Wapello,5075.483609088701,5075.483609088701
120,Walsh,13.367292700769733,13.367292700769733
121,Georgetown,1269.1813152599418,1269.1813152599418
122,Codington,102.04110963756314,102.04110963756314
123,Lyman,0.7419512610006034,0.7419512610006034
124,Conway,73.28213265988109,73.28213265988109
125,Cross,198.73948989033926,198.73948989033926
126,Hot Spring,137.69782883265026,137.69782883265026
127,Woodruff,0.005190128999101308,0.005190128999101308
128,Saunders,41.425217021387375,41.425217021387375
129,Mayes,296.8706653743089,296.8706653743089
130,Wagoner,11832.986882102312,11832.986882102312
131,Brookings,75.81222005652657,75.81222005652657
132,Sweetwater,160.2688720573995,160.2688720573995
133,Drew,112.70835804178475,112.70835804178475
134,Foster,0.005188358059325865,0.005188358059325865
135,Creek,4786.878185453774,4786.878185453774
136,Williamsburg,5088.660209409162,5088.660209409162
137,Chicot,32.489806497442466,32.489806497442466
138,Lonoke,1164.3790734166537,1164.3790734166537
139,Appanoose,0.5053605092031641,0.5053605092031641
140,Des Moines,170.788544339585,170.788544339585
141,Mahaska,81.84203808980035,81.84203808980035
142,Monona,24.26459599327693,24.26459599327693
143,Kearney,2.9322833086593265,2.9322833086593265
144,Okmulgee,140.0772245320863,140.0772245320863
145,Sequoyah,66.6198422942972,66.6198422942972
146,Hot Springs,3.798027872866939,3.798027872866939
147,Baxter,6.94879379728521,6.94879379728521
148,Latimer,6.849921295030782,6.849921295030782
149,Pittsburg,660.0720541992179,660.0720541992179
150,Aurora,0.12222823951414732,0.12222823951414732
151,Faulk,0.00518693225754205,0.00518693225754205
152,Uintah,10.673953352438744,10.673953352438744
153,Goshen,3.3309862925460982,3.3309862925460982
154,Washakie,18.26058196897964,18.26058196897964
155,Keokuk,1.103527812990074,1.103527812990074
156,Gosper,37.93298673033886,37.93298673033886
157,Barnes,3.8042717838784172,3.8042717838784172
158,Divide,0.005186854597172237,0.005186854597172237
159,Mountrail,802.0801117459753,802.0801117459753
160,Le Flore,56.383547157304314,56.383547157304314
161,Nowata,242.66541408912525,242.66541408912525
162,Hamlin,0.2739522588656541,0.2739522588656541
163,Yankton,438.9564372119179,438.9564372119179
164,Converse,258.9559626512858,258.9559626512858
165,Sublette,1.5121031688474553,1.5121031688474553
166,Arkansas,0.5218053470179065,0.5218053470179065
167,Ashley,107.48586327909092,107.48586327909092
168,Hempstead,10.542227013711441,10.542227013711441
169,Scotts Bluff,568.9751526001791,568.9751526001791
170,Rogers,2543.585424475431,2543.585424475431
171,Fall River,0.06752576126385866,0.06752576126385866
172,St. Francis,6776.162221263263,6776.162221263263
173,Audubon,2.7260515498845797,2.7260515498845797
174,Guthrie,187.01439430338314,187.01439430338314
175,Antelope,0.9223946147559314,0.9223946147559314
176,Grand Forks,55811.24003102897,55811.24003102897
177,Oliver,0.005186060426657323,0.005186060426657323
178,Beckham,6.6866480969409725,6.6866480969409725
179,Cotton,7.191261812253598,7.191261812253598
180,Love,0.24837806398523582,0.24837806398523582
181,Barnwell,248.93566082128874,248.93566082128874
182,Kimball,44.04264157749499,44.04264157749499
183,McKenzie,77.74160949706588,77.74160949706588
184,Bamberg,44.67628832222757,44.67628832222757
185,Cuming,11.05990257360929,11.05990257360929
186,Greer,3140.641752966404,3140.641752966404
187,Allendale,56.85162286087795,56.85162286087795
188,Sharp,14.606512868686135,14.606512868686135
189,Bremer,1750.4321334620304,1750.4321334620304
190,O'Brien,19.473921491601835,19.473921491601835
191,Gage,845.3901037631579,845.3901037631579
192,Otoe,0.5023478641322006,0.5023478641322006
193,Atoka,0.047203458511258276,0.047203458511258276
194,Kingfisher,21.81156646676581,21.81156646676581
195,Woodward,0.005191385522510316,0.005191385522510316
196,Hampton,347.422401623935,347.422401623935
197,McCormick,12.63715248077898,12.63715248077898
198,Spink,1.2420046861425136,1.2420046861425136
199,Uinta,21.42758394303806,21.42758394303806
200,Merrick,94.00440643582006,94.00440643582006
201,Slope,1.4955969936041373,1.4955969936041373
202,Major,0.5715310614186502,0.5715310614186502
203,McCurtain,25.019450114267528,25.019450114267528
204,Duchesne,11.174776484370321,11.174776484370321
205,Emery,4.854336613100516,4.854336613100516
206,Juab,17.109641661814482,17.109641661814482
207,Millard,6.489023566574154,6.489023566574154
208,Cherry,0.0051899262394855825,0.0051899262394855825
