,COUNTY,R2SCOREBEFORE,R2SCOREAFTER
63,Gordon,0.9432335320031922,-1585.6507997618455
64,St. Charles,0.7303034838996936,-863654.6527523082
65,Copiah,0.8805918942648182,-0.8685770494069243
66,Leflore,0.7681663343053098,-1255.5252493170526
67,Pearl River,0.881177672081751,-14189.414297484547
68,Oklahoma,-57.78191438308434,-57.78191438308434
69,McCook,-25.204631704027072,-25.204631704027072
70,Lexington,-39.17820220381737,-39.17820220381737
71,Garland,-1056.311936682878,-1056.311936682878
72,Allamakee,-23.788274226890852,-23.788274226890852
73,Kay,-3647.7036254091086,-3647.7036254091086
74,Payne,-6071.599415484141,-6071.599415484141
75,Greenville,-31.817539303536407,-31.817539303536407
76,Horry,-72.50966075144542,-72.50966075144542
77,Utah,-21.08284654917584,-21.08284654917584
78,Desha,-433.4682953391002,-433.4682953391002
79,Canadian,-118.75093674359574,-118.75093674359574
80,Tooele,-35.71232424805235,-35.71232424805235
81,Wasatch,-68.37761034019391,-68.37761034019391
82,Black Hawk,-18.394457685463315,-18.394457685463315
83,Sarpy,-2.70535570083013,-2.70535570083013
84,Burleigh,-29.179669189125615,-29.179669189125615
85,Laramie,-69.71277000614226,-69.71277000614226
86,Faulkner,-357.07761037850815,-357.07761037850815
87,Winneshiek,-25.585342754151707,-25.585342754151707
88,Box Elder,-38.42378053332087,-38.42378053332087
89,Cache,-26.1208670573176,-26.1208670573176
90,Craighead,-15.426678319986763,-15.426678319986763
91,Independence,-1.0704044313913967,-1.0704044313913967
92,Poinsett,-21.76996439395681,-21.76996439395681
93,Searcy,-1.602942574842975e+31,-1.602942574842975e+31
94,Sebastian,-63.88563646573813,-63.88563646573813
95,Dubuque,-3.6042141087151656,-3.6042141087151656
96,Muscatine,-20.383505680093926,-20.383505680093926
97,McClain,-4.951481073906105,-4.951481073906105
98,Abbeville,-77.1526227116712,-77.1526227116712
99,Saluda,-3.8981378331425054,-3.8981378331425054
100,Garvin,-162.84798991150726,-162.84798991150726
101,Aiken,-46.684820107716284,-46.684820107716284
102,Clarendon,-40.85576605687494,-40.85576605687494
103,Darlington,-17.809757449239086,-17.809757449239086
104,Orangeburg,-15.547168160276108,-15.547168160276108
105,Natrona,-5265.674896011213,-5265.674896011213
106,Story,-1.7650892171371595,-1.7650892171371595
107,Ouachita,-1.419895803400307,-2510.0801431671225
108,Dillon,-3.4587778198399537,-3.4587778198399537
109,Edgefield,-15.246486789742232,-15.246486789742232
110,Marlboro,-23.469594960119696,-23.469594960119696
111,Newberry,-36.29043502120632,-36.29043502120632
112,Cerro Gordo,-1109.1512439339456,-1109.1512439339456
113,Kossuth,0.5336755797936406,0.5336755797936406
114,Poweshiek,-16.695883000333637,-16.695883000333637
115,Tama,-71.54896817120711,-71.54896817120711
116,Woodbury,-2.676542995469454,-2.676542995469454
117,Muskogee,-281.3904542187178,-281.3904542187178
118,Colleton,-38.36582173732813,-38.36582173732813
119,Wapello,0.5865431511827954,0.5865431511827954
120,Walsh,-7.568777372288292,-7.568777372288292
121,Georgetown,-58.509146184969744,-58.509146184969744
122,Codington,-237.69265412295485,-237.69265412295485
123,Lyman,-2.2613242241784777,-2.2613242241784777
124,Conway,-92.05667639349981,-92.05667639349981
125,Cross,-3.7673640753304767,-3.7673640753304767
126,Hot Spring,-3.3044022767318006,-3.3044022767318006
127,Woodruff,-1.1038183627744962e+29,-1.1038183627744962e+29
